time,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,surface_pressure,visibility,dew_point_2m,temperature_80m,cloud_cover,pm10,pm2_5,carbon_dioxide,ammonia,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,hour,Traffic_Density_Proxy
2026-03-01 00:00:00,1.7,68,1.1,72,0.0,921.3,38820.0,-3.6,1.7,50,51.1,41.8,508,2.7,46.2,25.0,426.0,0,0
2026-03-01 01:00:00,1.4,69,0.5,135,0.0,921.1,38500.0,-3.6,1.4,47,41.3,33.9,509,3.5,45.1,24.0,433.0,1,0
2026-03-01 02:00:00,1.2,70,0.4,90,0.0,920.7,38120.0,-3.6,1.3,36,34.4,26.8,509,3.6,44.3,23.8,308.0,2,0
2026-03-01 03:00:00,1.0,72,1.0,45,0.0,921.5,37360.0,-3.5,1.3,21,33.0,26.2,506,3.8,42.8,23.3,283.0,3,0
2026-03-01 04:00:00,0.7,74,1.1,72,0.0,922.2,37140.0,-3.4,1.1,0,33.9,26.5,501,4.0,41.7,25.3,288.0,4,0
2026-03-01 05:00:00,0.4,77,1.5,76,0.0,923.4,34760.0,-3.2,1.0,0,34.2,26.8,494,4.9,36.0,34.3,291.0,5,0
2026-03-01 06:00:00,1.2,75,1.5,45,0.0,923.8,35860.0,-2.8,1.3,0,31.4,23.8,485,3.1,30.3,37.8,309.0,6,0
2026-03-01 07:00:00,2.8,64,4.2,20,0.0,924.0,39180.0,-3.4,1.5,0,23.7,18.3,473,2.0,14.6,19.8,226.0,7,2
2026-03-01 08:00:00,4.1,56,8.8,35,0.0,923.9,40400.0,-3.9,2.3,28,18.6,11.7,459,1.0,7.9,9.9,190.0,8,2
2026-03-01 09:00:00,5.0,53,6.7,36,0.0,924.3,40700.0,-3.8,3.0,46,14.5,8.9,449,0.8,4.6,5.7,167.0,9,2
2026-03-01 10:00:00,5.9,52,6.9,39,0.0,923.7,40860.0,-3.2,3.7,74,14.0,6.1,446,0.9,4.9,4.3,159.0,10,1
2026-03-01 11:00:00,6.8,49,7.1,30,0.0,923.1,41240.0,-3.2,4.6,79,14.1,6.0,446,0.8,5.0,3.7,159.0,11,1
2026-03-01 12:00:00,7.8,44,8.9,43,0.0,923.1,41960.0,-3.7,5.8,49,14.8,6.4,448,0.8,5.2,3.6,162.0,12,1
2026-03-01 13:00:00,8.4,42,10.0,41,0.0,922.6,42540.0,-3.8,6.5,48,15.2,7.3,448,0.8,6.4,3.7,165.0,13,1
2026-03-01 14:00:00,8.4,42,10.4,46,0.0,922.4,42860.0,-3.8,6.9,41,16.7,10.3,450,0.9,8.3,4.0,181.0,14,1
2026-03-01 15:00:00,8.0,43,7.7,62,0.0,923.2,42580.0,-3.9,7.0,48,24.6,14.5,456,1.5,14.8,6.7,227.0,15,1
2026-03-01 16:00:00,7.1,50,5.4,98,0.0,923.4,41700.0,-2.7,6.7,44,37.8,25.9,473,2.3,32.2,13.5,335.0,16,1
2026-03-01 17:00:00,5.9,56,4.4,125,0.0,923.5,41000.0,-2.2,6.0,45,54.3,38.3,494,3.2,38.9,17.4,395.0,17,2
2026-03-01 18:00:00,4.6,59,3.3,131,0.0,923.9,40620.0,-2.8,5.3,10,60.2,44.1,510,3.7,37.4,19.3,411.0,18,2
2026-03-01 19:00:00,3.3,70,2.9,120,0.0,924.0,38280.0,-1.7,5.0,16,59.1,42.6,515,4.0,53.2,22.9,441.0,19,2
2026-03-01 20:00:00,2.2,81,3.1,111,0.0,924.2,31940.0,-0.7,4.4,11,53.8,40.0,514,3.3,54.4,23.1,447.0,20,0
2026-03-01 21:00:00,1.2,83,3.3,131,0.0,924.3,29200.0,-1.4,3.7,0,45.7,33.7,511,4.1,49.7,25.6,431.0,21,0
2026-03-01 22:00:00,0.6,88,3.2,117,0.0,924.1,23480.0,-1.2,3.2,0,37.3,28.5,505,3.9,42.9,20.5,394.0,22,0
2026-03-01 23:00:00,0.2,89,3.5,114,0.0,924.3,21420.0,-1.4,2.7,0,33.2,27.0,498,3.8,46.6,21.6,355.0,23,0
